Year,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,CLOUD_AMT,WD10M,WS10M,PS,QV2M
2022,23.47,31.04,16.54,0.0,12.71,322.2,1.47,95.07,9.99
2023,24.28,31.38,19.08,0.0,67.3,348.7,1.32,95.12,9.68
